WKT,ID,Spielplatz-Name,Groesse,Bereich,Ball,Skater,Streetball,Rechtswert,Hochwert
POINT (3411789 5764109),242,SP WILLINGROTT,880,B/C,0,,,3411789,5764109
POINT (3411683 5763388),243,"SP DREI EICHEN, NORD",742,B/C,0,,,3411683,5763388
POINT (3411626 5763239),244,"SP DREI EICHEN, MITTE",243,B/C,0,,,3411626,5763239
POINT (3411660 5763108),245,"SP DREI EICHEN,  BALLSPIELPLATZ",800,B/C,1,,,3411660,5763108
POINT (3407668 5757151),246,SP AM LÜTKEBACH,959,B/C,0,,,3407668,5757151
POINT (3407957 5756308),247,SP BIEDERLACKWEG,660,B/C,2,,ja,3407957,5756308
POINT (3407600 5755399),248,SP KRÖGERWEG,4571,A+B/C,2,,,3407600,5755399
POINT (3408824 5754826),249,SP FRANKENWEG,1231,B/C,0,,,3408824,5754826
POINT (3407220 5756433),250,SP IM FRIEDENSPARK LODDENHEIDE,1800,A,0,,,3407220,5756433
POINT (3408502 5754734),251,SP STREETBALLFLÄCHE NORMANNENWEG,260,B,0,,ja,3408502,5754734
POINT (3409357 5755987),252,SP KRANICHWEG,660,B/C,0,,,3409357,5755987
POINT (3409606 5755814),253,SP STARWEG,699,B/C,0,,,3409606,5755814
POINT (3409811 5755884),254,SP AGATHASTRASSE,991,B/C,0,,,3409811,5755884
POINT (3409992 5755699),255,SP ANGELMODDER WEG,1850,A,2,,,3409992,5755699
POINT (3408782 5756203),256,SP IDASCHULE,679,B/C,0,,,3408782,5756203
POINT (3409285 5756550),257,SP AM LODDENBACH           (BALLSPIELPLATZ),2060,A,1,,ja,3409285,5756550
POINT (3409284 5756359),258,SP ZWI-SCHULMANN-WEG,2000,B/C,0,,,3409284,5756359
POINT (3410990 5754464),259,SP UFERSTRASSE,444,B/C,0,,,3410990,5754464
POINT (3409967 5753855),260,SP OSTHUESHEIDE,497,B/C,0,,,3409967,5753855
POINT (3409344 5754993),261,SP BIRKENHEIDE II,2857,A,0,,,3409344,5754993
POINT (3409461 5755017),262,SP BIRKENHEIDE I           (BALLSPIELPLATZ),2534,A,1,,,3409461,5755017
POINT (3409391 5754516),263,SP VOGELROHRSHEIDE,1995,B/C,2,,ja,3409391,5754516
POINT (3410191 5754309),264,SP THEODOR-HEUSS-STRASSE,568,B/C,0,,,3410191,5754309
POINT (3410350 5754197),265,SP EICHENDORFFSCHULE,1139,B/C,0,,ja,3410350,5754197
POINT (3410111 5754479),266,SP BOELESTRASSE,3300,A,2,,,3410111,5754479
POINT (3410729 5754844),267,SP HAUS ANGELMODDE,915,B/C,0,,,3410729,5754844
POINT (3411829 5753660),268,SP BUXTRUP,2975,A,2,,ja,3411829,5753660
POINT (3412315 5753874),269,SP AN DER VOGELRUTE,797,B/C,0,,,3412315,5753874
POINT (3412723 5754027),270,SP JUFFERNKAMP,865,B/C,0,,,3412723,5754027
POINT (3412054 5753546),271,SP ANTON-AULKE-STRASSE,288,C,0,,,3412054,5753546
POINT (3411765 5754003),272,SP VON-HOLTE-STRASSE,645,B/C,0,,,3411765,5754003
POINT (3412967 5754480),273,SP HOFSTRASSE / STADTWIESE (BALLSPIELPLATZ),1107,A,1,,,3412967,5754480
POINT (3412276 5754651),274,SP DIRK-VON-MERVELDT-STRASSE,2082,A,2,,ja,3412276,5754651
POINT (3412657 5754266),275,SP AM STEINTOR,450,B/C,0,,,3412657,5754266
POINT (3411934 5754531),276,SP AM BERLER KAMP,1433,B/C,0,,,3411934,5754531
POINT (3412184 5755128),277,SP GOLDBRINK,785,B/C,0,,,3412184,5755128
POINT (3413342 5754655),278,SP ZUR WALBEKE,981,B/C,0,,,3413342,5754655
POINT (3412793 5754469),279,SP HERRENSTRASSE,432,B/C,0,,,3412793,5754469
POINT (3411926 5755060),280,SP KUPFERBRINK,1077,B/C,0,,,3411926,5755060
POINT (3413134 5755094),281,SP DABECKSKAMP,1285,B/C,0,,,3413134,5755094
POINT (3405043 5755788),282,SP AM NATURDENKMAL,1895,A,0,,,3405043,5755788
POINT (3405158 5755829),283,SP GIGASSTRASSE,899,B/C,0,,,3405158,5755829
POINT (3404963 5755623),284,SP LECHTERSTRASSE,491,B/C,0,,,3404963,5755623
POINT (3404984 5755553),285,SP RINCKLAKEWEG,1082,B/C,0,,,3404984,5755553
POINT (3405132 5755532),286,SP TER-BORCH-STRASSE,838,B/C,0,,,3405132,5755532
POINT (3405213 5755523),287,SP PICTORIUSSTRASSE (BEGEGNUNGSRAUM),1699,B/C,0,,,3405213,5755523
POINT (3404672 5755453),288,SP SÜDWESTSPITZE BERG FIDEL,3738,A+B/C,2,,,3404672,5755453
POINT (3406139 5754402),289,SP HOHE GEEST,2013,B/C,2,,,3406139,5754402
POINT (3408402 5753193),290,SP HOLSENKAMPWEG,677,B/C,0,,,3408402,5753193
POINT (3407580 5753662),291,SP PAPPELWEG,769,B/C,0,,,3407580,5753662
POINT (3407670 5753819),292,SP FICHTENWEG,2069,A,2,,ja,3407670,5753819
POINT (3408011 5753565),293,SP KIEBITZWEG,795,B/C,0,,,3408011,5753565
POINT (3408393 5752851),294,SP DAHLIENWEG,656,B/C,0,,,3408393,5752851
POINT (3408609 5752831),295,SP AM ROGGENKAMP,2919,A,2,,ja,3408609,5752831
POINT (3408692 5752600),296,SP FRANZ-MARC-WEG,625,B/C,0,,,3408692,5752600
POINT (3409043 5752656),297,SP EMIL-NOLDE-WEG,625,B/C,0,,,3409043,5752656
POINT (3409224 5752731),298,SP PAUL-KLEE-WEG,1000,B/C,2,,,3409224,5752731
POINT (3408900 5752849),299,SP RUBENSSTRASSE,425,B/C,0,,,3408900,5752849
POINT (3408838 5752964),300,SP EINKAUFSZENTRUM RUBENSSTRASSE,949,B/C,0,,,3408838,5752964
